EpisodeTitle,Season,AirOrderInSeason,MonsterOfTheWeek,MOTWGrade,Mythology,Comedy,GuestStars,OtherCreativeTalent,WhoIsScully,WhoIsMulder,Commentary,RecurringCharacters,SRR,NoMulderOrScully,Date added,ID
Pilot,1,1,,n/a,TRUE,,,,TRUE,TRUE,,"Section Chief Blevins, Cigarette Smoking Man, Billy Miles, Theresa Nemman Hoese, Dr. Heitz Werber, Detective Miles",,,2016-04-05,1
Deep Throat,1,2,,n/a,TRUE,,Seth Green,,,,,Deep Throat,,,2016-04-05,2
Squeeze,1,3,TRUE,A,,,"Doug Hutchison, Donal Logue",,,,,"Eugene Tooms, Detective Briggs, Agent Fuller",,,2016-04-05,3
Conduit,1,4,TRUE,B,,,,Alex Gansa & Howard Gordon,,TRUE,,Section Chief Blevins,,,2016-04-05,4
The Jersey Devil,1,5,TRUE,B,,,,,,,,,,,2016-04-05,5
Shadows,1,6,TRUE,C,,,,,,,,,,,2016-04-05,6
Ghost in the Machine,1,7,TRUE,B,,,,Alex Gansa & Howard Gordon,,,,Deep Throat,,,2016-04-05,7
Ice,1,8,TRUE,A,,,Felicity Huffman,,,,,,,,2016-04-05,8
Space,1,9,TRUE,D,,,,,,,,,,,2016-04-05,9
Fallen Angel,1,10,,n/a,TRUE,,,Alex Gansa & Howard Gordon,,,,"Max Fenig, Deep Throat",,,2016-04-05,10
Eve,1,11,TRUE,A,,,Harriet Harris,,,,,Deep Throat,,,2016-04-05,11
Fire,1,12,TRUE,B,,,,,,TRUE,,,,,2016-04-05,12
Beyond the Sea,1,13,TRUE,A,,,"Brad Dourif, Don Davis",,TRUE,,,"Captain William Scully, Margaret Scully",,,2016-04-05,13
Gender Bender,1,14,TRUE,C,,,,,,,"Nicholas Lea makes his first appearance, later to play Alex Krycek.",,,,2016-04-05,14
Lazarus,1,15,TRUE,B,,,,Alex Gansa & Howard Gordon,TRUE,,"Scully's ex, also an FBI agent, shows up.",,,,2016-04-05,15
Young at Heart,1,16,TRUE,D,,,,,,,,"Deep Throat, Cigarette Smoking Man",,,2016-04-05,16
E.B.E.,1,17,,n/a,TRUE,,,,,,,"The Lone Gunmen, Deep Throat",,,2016-04-05,17
